x1,y1,x2,y2,length
-121.8922617,37.3239161,-121.8587727,37.25535409,8168.14511
-118.3684287,33.9305561,-118.2807777,33.92825208,8108.33951
-118.1796267,33.9118001,-118.1049897,33.9136901,6905.54818
-118.2807777,33.92825208,-118.1796267,33.9118001,9529.91442
-123.0493467,44.0619731,-123.1012047,44.05316208,4269.08403
-118.3963467,33.93069109,-118.3684287,33.9305561,2581.33669
-122.5618797,45.54969107,-122.5645167,45.53287911,1879.83698
-121.5616917,37.74267709,-121.3321737,37.76692307,20404.30556
-122.6544447,45.72368811,-122.5491627,45.60345708,15680.8569
-122.7582057,45.3688451,-122.5823547,45.37819608,13814.0578
-122.5823547,45.37819608,-122.5645167,45.53287911,17248.10479
-122.5491627,45.60345708,-122.5618797,45.54969107,6057.5926
-117.3191187,34.14458511,-117.3021987,34.12704407,2494.3029
-117.2941887,33.9455411,-117.1894558,33.76502811,22244.90416
-117.1894558,33.76502811,-117.1786467,33.54624711,24287.05566
-117.4093797,34.22532409,-117.3191187,34.14458511,12224.69963
-111.9159597,40.83547309,-111.9509697,40.7653451,8329.3015
-117.3021987,34.12704407,-117.2964117,34.06408007,7004.6127
-111.8136657,40.71438708,-111.7967277,40.70635009,1686.76563
-111.9051148,40.63474611,-111.8103627,40.63454808,8015.86773
-111.8103627,40.63454808,-111.7967277,40.70635009,8056.35344
-111.9509697,40.7653451,-111.9051148,40.63474611,15011.64556
-111.7967277,40.70635009,-111.7913637,40.71118307,702.49855
-117.2964117,34.06408007,-117.3572427,33.99340311,9644.80885
-117.3572427,33.99340311,-117.2941887,33.9455411,7883.04717
-115.1807007,36.06056809,-115.0126797,36.03308211,15444.55116
-122.1373587,37.69015309,-122.0985057,37.69024308,3426.87562
-121.5108867,38.56838207,-121.4734287,38.55868007,3437.7517
-121.5634917,38.57623911,-121.5108867,38.56838207,4666.52001
-121.9400787,38.8475891,-121.9531827,38.37342409,52648.5118
-115.1545827,36.17431908,-115.0895128,36.13303611,7434.4783
-122.3528996,37.92166007,-122.3525395,37.92166007,31.65435
-122.3525395,37.92166007,-122.3526125,37.92166529,6.43698
-122.3526125,37.92166529,-122.3528996,37.92166007,25.25022
